NM_001010975.1	Ant	ADP/ATP translocase
XM_001123162.4	LOC727454	LON peptidase N-terminal domain and RING finger protein 1-like
XM_001123172.4	LOC727464	uncharacterized LOC727464
XM_001123173.4	LOC727465	choline/ethanolaminephosphotransferase 1-like
XM_001123179.4	LOC727471	NAD(P)H-hydrate epimerase
XM_001123187.4	LOC727479	zinc transporter 1
XM_001123191.4	LOC727483	ATP synthase subunit epsilon, mitochondrial-like
XM_001123193.4	LOC727484	kinesin-like protein unc-104
XM_001123195.4	LOC727486	BAG domain-containing protein Samui
XM_001123196.4	LOC727487	selenium-binding protein 1-A-like
XM_001123202.4	LOC727493	ubiquinone biosynthesis protein COQ4 homolog, mitochondrial-like
XM_001123207.4	LOC727498	uncharacterized LOC727498
XM_001123212.4	LOC727502	uncharacterized LOC727502
XM_001123213.3	LOC727503	uncharacterized LOC727503
XM_001123215.4	LOC727506	60S ribosomal protein L7a
XM_001123220.4	LOC727511	cysteine-rich protein 2-binding protein-like
XM_001123223.4	LOC727515	uncharacterized protein C19orf52
XM_001123226.4	LOC727518	RING finger protein unkempt-like
XM_001123227.4	LOC727519	patronin
XM_001123230.4	LOC727522	protein G12-like
XM_001123234.4	LOC727526	catalase-like
XM_001123240.3	LOC727531	putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1
XM_001123243.4	LOC727534	ADP-ribose pyrophosphatase, mitochondrial
XM_001123247.3	LOC727538	regulator of microtubule dynamics protein 2-like
XM_001123248.4	LOC727539	lysocardiolipin acyltransferase 1-like
XM_001123250.3	LOC727541	octanoyltransferase-like
XM_001123252.4	LOC727543	probable cytochrome P450 6a13
XM_001123258.4	LOC727549	uncharacterized LOC727549
XM_001123262.4	LOC727553	uncharacterized LOC727553
XM_001123264.3	LOC727555	NF-kappa-B inhibitor alpha-like
XM_001123273.2	LOC727564	glucose-1-phosphate thymidylyltransferase-like
XM_001123277.4	LOC727568	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
XM_001123279.2	LOC727570	CD63 antigen-like
XM_001123286.2	LOC727577	tankyrase
XM_001123287.4	LOC727578	uncharacterized LOC727578
XM_001123292.4	LOC727584	peroxisomal multifunctional enzyme type 2-like
XM_001123295.4	LOC727587	trypsin-1-like
XM_001123300.4	LOC727592	uncharacterized LOC727592
XM_001123305.3	LOC727597	sarcalumenin-like
XM_001123306.4	LOC727598	probable cytochrome P450 6a13
XM_001123307.4	LOC727599	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial
XM_001123308.2	LOC727600	guanine nucleotide-binding protein-like 1
XM_001123310.3	LOC727603	uncharacterized LOC727603
XM_001123313.3	LOC727606	ankyrin repeat domain-containing protein 50-like
XM_001123314.4	LOC727607	protein yellow
XM_001123319.4	LOC727612	PITH domain-containing protein GA19395
XM_001123327.4	LOC727620	histone deacetylase 6
XM_001123340.4	LOC727634	activating molecule in BECN1-regulated autophagy protein 1-like
XM_001123341.2	LOC727635	lipid A export ATP-binding/permease protein MsbA-like
XM_001123347.4	LOC727641	TATA-box-binding protein
XM_001123348.4	LOC727642	dnaJ homolog subfamily B member 13-like
XM_001123351.4	LOC727645	guanine nucleotide-binding protein subunit alpha homolog
XM_001123353.4	LOC409150	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial
XM_001123354.4	LOC727647	uncharacterized LOC727647
XM_001123355.4	LOC727648	acylamino-acid-releasing enzyme-like
XM_001123356.4	LOC727649	uncharacterized LOC727649
XM_001123357.4	LOC727650	uncharacterized LOC727650
XM_001123358.4	LOC727651	uncharacterized LOC727651
XM_003249027.3	LOC100576369	ets DNA-binding protein pokkuri
XM_003249029.3	LOC726740	ubiquitin-conjugating enzyme E2 T-like
XM_003249034.3	LOC100578113	uncharacterized LOC100578113
XM_003249035.3	LOC413814	transcription elongation factor SPT5
XM_003249038.3	LOC100578522	peroxisomal biogenesis factor 19
XM_003249045.3	LOC411557	protein FAM46C
XM_003249046.3	LOC411557	protein FAM46C
XM_003249048.3	LOC726072	putative defense protein 3
XM_003249049.3	LOC100576850	RNA 3'-terminal phosphate cyclase-like protein
XM_003249062.3	LOC100578334	transcription factor 21
XM_003249064.3	LOC100578600	uncharacterized LOC100578600
XM_003249067.3	LOC100576370	nucleolar protein 58-like
XM_003249068.3	LOC100576552	uncharacterized LOC100576552
XM_003249071.3	LOC100577060	ankyrin repeat domain-containing protein 40-like
XM_003249072.3	LOC100577250	zinc finger protein 729
XM_003249074.3	LOC725083	clusterin-associated protein 1-like
XM_003249075.3	LOC100577504	uncharacterized LOC100577504
XM_003249082.3	LOC100578929	uncharacterized LOC100578929
XM_003249091.3	LOC100577145	sulfide:quinone oxidoreductase, mitochondrial
XM_003249098.3	LOC100578523	protein glass-like
XM_003249101.3	LOC552292	uncharacterized LOC552292
XM_003249103.3	LOC100576121	protein NDNF
XM_003249104.3	LOC412994	octopamine receptor beta-3R
XM_003249105.3	LOC100576457	probable ribosome biogenesis protein RLP24
XM_003249106.3	LOC100576487	apoptosis regulatory protein Siva-like
XM_003249107.3	LOC413633	serine/threonine-protein kinase BRSK2
XM_003249108.3	LOC100576563	growth factor receptor-bound protein 14-like
XM_003249114.3	LOC100577347	SET and MYND domain-containing protein 4-like
XM_003249121.3	LOC552686	breast cancer metastasis-suppressor 1-like protein
XM_003249130.3	LOC409845	potassium voltage-gated channel subfamily H member 8
XM_003249131.3	LOC100577451	glycolipid transfer protein
XM_003249136.3	LOC100578100	uncharacterized LOC100578100
XM_003249144.3	LOC100576614	probable ATP-dependent RNA helicase ddx42
XM_003249148.3	LOC100577147	uncharacterized LOC100577147
XM_003249150.3	LOC100577300	surfeit locus protein 6 homolog
XM_003249152.3	LOC100577678	putative uncharacterized protein DDB_G0286901
XM_003249154.3	LOC724509	target of rapamycin complex 2 subunit MAPKAP1
XM_003249158.3	LOC100578162	uncharacterized LOC100578162
XM_003249162.3	LOC100578524	uncharacterized LOC100578524
XM_003249166.3	LOC100576157	uncharacterized LOC100576157
XM_003249169.3	LOC412896	octopamine receptor beta-2R
XM_003249170.3	LOC412896	octopamine receptor beta-2R
XM_003249173.3	LOC100576812	uncharacterized LOC100576812
XM_003249174.3	LOC410013	calexcitin-2
XM_003249176.3	LOC100576932	uncharacterized LOC100576932
XM_003249180.3	LOC726804	protein BTG2-like
XM_003249181.3	LOC100577755	odorant receptor 30a-like
XM_003249183.3	LOC411980	death-associated protein kinase 1-like
XM_003249185.3	LOC408867	alpha,alpha-trehalose-phosphate synthase [UDP-forming]
XM_003249196.3	LOC100576405	AT-rich interactive domain-containing protein 5B-like
XM_003249201.3	LOC100577418	uncharacterized LOC100577418
XM_003249206.3	LOC726277	anaphase-promoting complex subunit CDC26-like
XM_003249211.3	LOC100578725	uncharacterized LOC100578725
XM_003249214.3	LOC552084	oxygen-dependent coproporphyrinogen-III oxidase
XM_003249219.3	LOC100576212	odorant receptor 13a-like
XM_003249220.3	LOC100576246	odorant receptor 13a-like
XM_003249230.3	LOC100576839	uncharacterized LOC100576839
XM_003249233.3	LOC100577024	odorant receptor 30a-like
XM_003249241.3	LOC409954	peroxiredoxin 1
XM_003249249.3	LOC100576220	homeobox protein rough-like
XM_003249252.3	LOC100576467	sex-regulated protein janus-A-like
XM_003249254.3	LOC100577120	dual specificity protein kinase TTK
XM_003249255.3	LOC412295	nose resistant to fluoxetine protein 6
XM_003249256.3	LOC100577638	uncharacterized LOC100577638
XM_003249259.3	LOC100578226	zinc finger protein GLI1-like
XM_003249263.3	LOC100578783	uncharacterized LOC100578783
XM_003249265.3	LOC408407	translation machinery-associated protein 7 homolog
XM_003249269.3	LOC100576527	cyclic AMP-dependent transcription factor ATF-2
XM_003249273.2	LOC724686	leucine-rich repeat-containing protein 51-like
XM_003249275.3	LOC100577045	uncharacterized LOC100577045
XM_003249277.3	LOC410103	partner of Y14 and mago-like
XM_003249288.3	LOC100578245	uncharacterized LOC100578245
XM_003249289.3	LOC413835	RNA-binding protein 1-like
XM_003249302.3	LOC100576700	class A basic helix-loop-helix protein 15-like
XM_003249303.3	LOC100576789	leucine-rich repeat protein SHOC-2-like
XM_003249304.3	LOC100576820	uncharacterized LOC100576820
XM_003249306.3	LOC724874	facilitated trehalose transporter Tret1-like
XM_003249309.3	LOC410765	7,8-dihydro-8-oxoguanine triphosphatase-like
XM_003249311.3	LOC724679	uncharacterized LOC724679
XM_003249312.3	LOC100577325	uncharacterized LOC100577325
XM_003249313.3	LOC100577325	uncharacterized LOC100577325
XM_003249314.3	LOC100577680	uncharacterized LOC100577680
XM_003249316.3	LOC100578294	dynein intermediate chain 2, axonemal-like
XM_003249317.3	LOC100578557	solute carrier family 46 member 3
XM_003249332.3	LOC727071	acylglycerol kinase, mitochondrial
XM_003249333.3	LOC412345	exosome complex component RRP41
XM_003249334.3	LOC100578006	inorganic pyrophosphatase
XM_003249335.3	LOC100578188	phosphatidylinositol-glycan biosynthesis class F protein
XM_003249336.3	LOC100578307	multiple inositol polyphosphate phosphatase 1
XM_003249337.3	LOC725453	guanine nucleotide-binding protein subunit gamma-e
XM_003249338.3	LOC725620	28S ribosomal protein S33, mitochondrial
XM_003249340.3	LOC100578920	zinc finger protein 251-like
XM_003249352.3	LOC100577596	uncharacterized LOC100577596
XM_003249354.3	LOC100577908	uncharacterized LOC100577908
XM_003249355.3	LOC100577982	RPII140-upstream gene protein
XM_003249357.3	LOC100578363	uncharacterized LOC100578363
XM_003249360.2	LOC100576137	uncharacterized LOC100576137
XM_003249361.3	LOC100576300	uncharacterized LOC100576300
XM_003249365.3	LOC100576801	malate dehydrogenase, cytoplasmic-like
XM_003249367.3	LOC100577771	uncharacterized LOC100577771
XM_003249370.3	LOC100578128	uncharacterized LOC100578128
XM_003249371.3	LOC551425	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
XM_003249372.3	LOC100578246	myosin-7B-like
XM_003249375.3	LOC100578697	THUMP domain-containing protein 1 homolog
XM_003249378.3	LOC726274	yellow-e
XM_003249379.3	LOC100576289	uncharacterized LOC100576289
XM_003249382.3	LOC724286	uncharacterized LOC724286
XM_003249393.3	LOC552790	peroxisomal biogenesis factor 3
XM_003249397.3	LOC100578498	tricalbin-3-like
XM_003249398.3	LOC100578537	UV radiation resistance-associated gene protein
XM_003249399.2	LOC100578624	delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial
XM_003249400.3	LOC100578885	putative transcription factor capicua
XM_003249403.3	LOC413146	regulator of nonsense transcripts 2
XM_003249406.3	LOC100577220	regulatory protein MIG1-like
XM_003249407.3	LOC100577707	arginine/serine-rich coiled-coil protein 2
XM_003249408.3	LOC409590	cyclin-dependent kinase 1
XM_003249411.2	LOC724366	ras-related protein Rap-2a
XM_003249415.3	LOC727237	carbonic anhydrase 2-like
XM_003249416.3	LOC552488	F-box only protein 28
XM_003249423.3	LOC100578067	enhancer of split mgamma protein-like
XM_003249424.3	LOC725925	prolyl 3-hydroxylase OGFOD1
XM_003249428.3	LOC100578442	uncharacterized LOC100578442
XM_003249429.2	LOC726205	inosine triphosphate pyrophosphatase
XM_003249431.3	LOC100576554	cilia- and flagella-associated protein 69-like
XM_003249434.3	LOC100576736	uncharacterized LOC100576736
XM_003249439.3	LOC100577695	uncharacterized LOC100577695
XM_003249442.3	LOC100577996	uncharacterized LOC100577996
XM_003249450.3	LOC413799	mitochondrial import inner membrane translocase subunit Tim17-A
XM_003249451.3	LOC413799	mitochondrial import inner membrane translocase subunit Tim17-A
XM_003249453.3	LOC100578791	uncharacterized LOC100578791
XM_003249455.3	LOC100578921	uncharacterized LOC100578921
XM_003249459.3	LOC100576923	uncharacterized LOC100576923
XM_003249464.3	LOC100577582	putative mannose 6-phosphate receptor-like protein C530.09c
XM_003249467.3	LOC409370	brefeldin A-inhibited guanine nucleotide-exchange protein 1
XM_003249469.2	LOC551833	PAXIP1-associated glutamate-rich protein 1
XM_003249471.3	LOC100578337	uncharacterized LOC100578337
XM_003249474.2	LOC100578828	uncharacterized LOC100578828
XM_003249477.3	LOC100576863	uncharacterized LOC100576863
XM_003249478.3	LOC100576968	merlin
XM_003249481.3	LOC100577229	cuticular protein 8
XM_003249483.3	LOC100577452	protein brambleberry-like
XM_003249489.3	LOC100578051	uncharacterized LOC100578051
XM_003249490.3	LOC411658	transcriptional adapter 3-B
XM_003249498.3	LOC100576737	uncharacterized LOC100576737
XM_003249509.3	LOC412342	cyclin-related protein FAM58A
XM_003249510.3	LOC412524	calcium release-activated calcium channel protein 1
XM_003249512.3	LOC412524	calcium release-activated calcium channel protein 1
XM_003249513.3	LOC410128	26S proteasome non-ATPase regulatory subunit 9
XM_003249514.3	LOC725093	phosphofurin acidic cluster sorting protein 2
XM_003249517.3	LOC100577026	mitochondrial amidoxime-reducing component 1-like
XM_003249518.3	LOC100577098	enolase-phosphatase E1
XM_003249519.3	LOC100577132	uncharacterized LOC100577132
XM_003249520.3	LOC100577221	uncharacterized LOC100577221
XM_003249526.3	LOC100577997	CAPA peptides-like
XM_003249527.3	LOC100578137	uncharacterized LOC100578137
XM_003249528.3	LOC100578235	DNA-directed RNA polymerase I subunit RPA12
XM_003249529.3	LOC100578309	uncharacterized LOC100578309
XM_003249530.3	LOC100578472	uncharacterized LOC100578472
XM_003249533.3	LOC725378	nucleolar GTP-binding protein 2
XM_003249537.3	LOC100576864	myosin-2 heavy chain
XM_003249539.3	LOC410635	fumarylacetoacetate hydrolase domain-containing protein 2A
XM_003249545.3	LOC100578560	28S ribosomal protein S18c, mitochondrial
XM_003249547.3	LOC724542	U3 small nucleolar RNA-associated protein 4 homolog
XM_003249553.3	LOC410479	uncharacterized LOC410479
XM_003249555.3	LOC100576738	uncharacterized LOC100576738
XM_003249564.3	LOC100577629	uncharacterized LOC100577629
XM_003249565.3	LOC100577923	protein LLP homolog
XM_003249567.3	LOC100578068	lateral signaling target protein 2 homolog
XM_003249571.3	LOC100578649	uncharacterized LOC100578649
XM_003249573.3	LOC100578751	uncharacterized LOC100578751
XM_003249581.3	LOC724683	oxidative stress-responsive serine-rich protein 1
XM_003249582.3	LOC100577149	15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like
XM_003249586.3	LOC100577489	uncharacterized LOC100577489
XM_003249598.3	LOC100576542	uncharacterized LOC100576542
XM_003249599.3	LOC100576615	uncharacterized LOC100576615
XM_003249602.3	LOC100576767	uncharacterized LOC100576767
XM_003249605.3	LOC100576934	uncharacterized LOC100576934
XM_003249607.3	LOC100577121	uncharacterized LOC100577121
XM_003249608.3	LOC100577431	uncharacterized LOC100577431
XM_003249609.3	LOC100577506	uncharacterized LOC100577506
XM_003249611.3	LOC100577641	uncharacterized LOC100577641
XM_003249612.3	LOC100577682	uncharacterized LOC100577682
XM_003249613.3	LOC725926	collagen alpha-1(IV) chain
XM_003249614.3	LOC724121	uncharacterized LOC724121
XM_003249616.3	LOC724121	uncharacterized LOC724121
XM_003249617.2	LOC100578406	asparagine-rich zinc finger protein AZF1-like
XM_003249618.3	LOC100578443	uncharacterized LOC100578443
XM_003249619.3	LOC100578752	uncharacterized LOC100578752
XM_003249622.3	LOC725753	transmembrane protein 45B-like
XM_003249623.3	LOC100576555	cytochrome b561 domain-containing protein 2-like
XM_003249625.3	LOC100576924	ankyrin repeat and death domain-containing protein 1A-like
XM_003249629.3	LOC100577543	fez family zinc finger protein 1-like
XM_003249630.3	LOC100577696	fez family zinc finger protein 2-like
XM_003249632.3	LOC100578023	SIFamide-related peptide
XM_003249633.3	LOC100578090	uncharacterized LOC100578090
XM_003249637.3	LOC408426	lysosomal thioesterase PPT2 homolog
XM_003249638.3	LOC100578957	uncharacterized LOC100578957
XM_003249640.3	LOC100576174	uncharacterized LOC100576174
XM_003249641.3	LOC724405	protein lethal(2)essential for life-like
XM_003249642.3	LOC725191	protein giant
XM_003249645.3	LOC100576768	nuclear cap-binding protein subunit 3-like
XM_003249646.3	LOC100576866	probable elongator complex protein 3
XM_003249651.3	LOC724383	centaurin-gamma-1A
XM_003249657.3	LOC551852	ubiquitin-conjugating enzyme E2-17 kDa
XM_003249659.3	LOC551257	microtubule-associated protein Jupiter
XM_003249662.3	LOC410084	exocyst complex component 6B
XM_003249664.3	LOC727483	ATP synthase subunit epsilon, mitochondrial-like
XM_003249671.3	LOC100578592	uncharacterized LOC100578592
XM_003249675.3	LOC100576159	uncharacterized LOC100576159
XM_003249676.3	LOC100576221	zinc finger protein 26
XM_003249680.3	LOC726543	proline-rich nuclear receptor coactivator 2-like
XM_003249685.3	LOC726706	F-box/LRR-repeat protein 7
XM_003249690.3	LOC100577998	origin recognition complex subunit 3
XM_003249696.3	LOC411343	uncharacterized LOC411343
XM_003249707.3	LOC100577341	uncharacterized LOC100577341
XM_003249708.3	LOC100577507	uncharacterized LOC100577507
XM_003249713.3	LOC100578399	ribonuclease P protein subunit p25-like protein
XM_003249719.2	LOC408751	E3 ubiquitin-protein ligase RNF185-like
XM_003249730.3	LOC100577810	uncharacterized LOC100577810
XM_003249731.3	LOC100577885	uncharacterized LOC100577885
XM_003249734.3	LOC100578339	condensin-2 complex subunit D3-like
XM_003249736.3	LOC551824	putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1
XM_003249744.3	LOC100577122	cellular tumor antigen p53
XM_003249751.3	LOC724924	protein FAM117B-like
XM_003249754.3	LOC100578822	uncharacterized LOC100578822
XM_003249756.3	LOC100579058	targeting protein for Xklp2-like
XM_003249757.3	LOC408708	ubiquitin-conjugating enzyme E2 S
XM_003249760.3	LOC100576512	U8-agatoxin-Ao1a-like
XM_003249761.3	LOC100576512	U8-agatoxin-Ao1a-like
XM_003249769.3	LOC100578264	RNA-binding protein Musashi homolog Rbp6-like
XM_003249771.3	LOC100578420	uncharacterized LOC100578420
XM_003249776.3	LOC100578727	uncharacterized LOC100578727
XM_003249777.3	LOC100579003	PAX3- and PAX7-binding protein 1
XM_003249782.3	LOC100576543	steroid receptor RNA activator 1-like
XM_003249786.3	LOC100577027	DNA repair protein XRCC1
XM_003249792.3	LOC100577819	uncharacterized LOC100577819
XM_003249794.3	LOC100578041	uncharacterized LOC100578041
XM_003249795.3	LOC100578041	uncharacterized LOC100578041
XM_003249797.3	LOC100578421	uncharacterized LOC100578421
XM_003249804.3	LOC100576544	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5
XM_003249805.3	LOC100576544	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5
XM_003249806.3	LOC412529	tyrosine-protein phosphatase corkscrew
XM_003249823.3	LOC100576182	pupal cuticle protein G1A-like
XM_003249827.3	LOC100576471	uncharacterized LOC100576471
XM_003249829.3	LOC100577080	uncharacterized LOC100577080
XM_003249830.3	LOC100577110	uncharacterized LOC100577110
XM_003249831.3	LOC100577150	uncharacterized LOC100577150
XM_003249832.3	LOC100577288	nudC domain-containing protein 1
XM_003249834.3	LOC100577408	leukocyte elastase inhibitor-like
XM_003249835.3	LOC725439	uncharacterized LOC725439
XM_003249841.3	LOC100577933	uncharacterized LOC100577933
XM_003249845.3	LOC100578713	uncharacterized LOC100578713
XM_003249846.3	LOC725025	peroxisome biogenesis factor 10-like
XM_003249847.3	LOC725076	CCHC-type zinc finger protein CG3800
XM_003249850.3	LOC725595	spermatogenesis-defective protein 39 homolog
XM_003249851.3	LOC100576271	dentin sialophosphoprotein-like
XM_003249854.3	LOC100576902	uncharacterized LOC100576902
XM_003249858.3	LOC408391	AP-1 complex subunit mu-1
XM_003249860.3	LOC100577561	uncharacterized LOC100577561
XM_003249865.3	LOC100577988	uncharacterized protein PFB0145c-like
XM_003249866.3	LOC725178	chitooligosaccharidolytic beta-N-acetylglucosaminidase
XM_003249867.3	LOC726197	autophagy-related protein 101
XM_003249869.3	LOC552235	histone-lysine N-methyltransferase E(z)
XM_003249872.3	LOC100579026	uncharacterized LOC100579026
XM_003249875.3	LOC552173	kinesin B
XM_003249876.3	LOC100576702	uncharacterized LOC100576702
XM_003249879.3	LOC100576935	uncharacterized LOC100576935
XM_003249881.3	LOC100576935	uncharacterized LOC100576935
XM_003249883.3	LOC100577151	uncharacterized LOC100577151
XM_003249891.3	LOC726941	ATP-binding cassette sub-family A member 2-like
XM_003249892.3	LOC726860	cytochrome b5-like
XM_003249896.3	LOC100578625	tetra-peptide repeat homeobox protein 1-like
XM_003249898.3	LOC100578699	uncharacterized LOC100578699
XM_003249899.3	LOC100578774	centrosomal protein of 164 kDa
XM_003249902.3	LOC100579047	cuticular protein 10
XM_003249904.3	LOC100576161	uncharacterized LOC100576161
XM_003249905.3	LOC100576192	uncharacterized LOC100576192
XM_003249919.3	LOC100578130	uncharacterized LOC100578130
XM_003249925.3	LOC100578860	zinc finger protein 512B-like
XM_003249929.3	LOC409019	plasmolipin-like
XM_003249936.3	LOC100577369	HEAT repeat-containing protein 6
XM_003249937.3	LOC100577454	coiled-coil domain-containing protein 91-like
XM_003249940.3	LOC100578513	KIF1-binding protein homolog
XM_003249946.3	LOC411619	double-strand-break repair protein rad21 homolog
XM_003249947.3	LOC100576272	tRNA-splicing endonuclease subunit Sen34
XM_003249951.3	LOC413440	protein kibra
XM_003249957.3	LOC100577441	uncharacterized LOC100577441
XM_003249958.3	LOC412864	FUN14 domain-containing protein 1
XM_003249961.2	LOC100578215	N-acetylgalactosaminyltransferase 6-like
XM_003249965.3	LOC100578810	facilitated trehalose transporter Tret1-2 homolog
XM_003249968.3	LOC411068	kinesin 4A
XM_003249970.3	LOC725170	cytochrome c oxidase assembly factor 5
XM_003249975.3	LOC100577000	eukaryotic translation elongation factor 1 epsilon-1
XM_003249977.3	LOC100577231	uncharacterized LOC100577231
XM_003249995.3	LOC100576903	leucine-rich repeat-containing protein 15-like
XM_003249997.3	LOC100576956	metalloproteinase inhibitor 3
XM_003249999.3	LOC100577359	uncharacterized LOC100577359
XM_003250000.3	LOC100577381	uncharacterized LOC100577381
XM_003250002.3	LOC552121	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
XM_003250003.3	LOC409208	bumetanide-sensitive sodium-(potassium)-chloride cotransporter
XM_003250009.3	LOC100578276	uncharacterized LOC100578276
XM_003250011.3	LOC100578562	uncharacterized LOC100578562
XM_003250013.3	LOC100578829	elongation of very long chain fatty acids protein 1-like
XM_003250026.3	LOC725653	pseudouridine-5'-phosphatase-like
XM_003250028.3	LOC552134	riboflavin kinase
XM_003250029.3	LOC552225	regulator of nonsense transcripts 3B
XM_003250031.3	LOC100578754	histone demethylase UTY
XM_003250037.3	LOC100576444	chymotrypsin inhibitor
XM_003250043.3	LOC727501	gonadal protein gdl
XM_003250044.3	LOC100577491	survival motor neuron protein
XM_003250045.3	LOC100577698	uncharacterized LOC100577698
XM_003250050.3	LOC100578105	coiled-coil and C2 domain-containing protein 2A-like
XM_003250054.2	LOC100578433	transmembrane protein 131
XM_003250055.3	LOC100578602	Hermansky-Pudlak syndrome 5 protein homolog
XM_003250059.3	LOC100578875	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
XM_003250060.3	LOC100576162	uncharacterized protein PF11_0213-like
XM_003250061.3	LOC100576222	heart- and neural crest derivatives-expressed protein 1
XM_003250063.3	LOC100576400	cilia- and flagella-associated protein 97-like
XM_003250066.3	LOC100576568	uncharacterized LOC100576568
XM_003250068.3	LOC725816	homocysteine S-methyltransferase YbgG-like
XM_003250084.3	LOC100576912	cyclic AMP response element-binding protein A
XM_003250085.3	LOC100576982	uncharacterized LOC100576982
XM_003250087.3	LOC100577135	protein amnionless-like
XM_003250089.3	LOC100577331	cell wall integrity and stress response component 1-like
XM_003250091.3	LOC100577527	uncharacterized LOC100577527
XM_003250093.3	LOC100577725	uncharacterized LOC100577725
XM_003250097.3	LOC100578248	uncharacterized serine-rich protein C215.13
XM_003250100.3	LOC100578609	uncharacterized LOC100578609
XM_003250102.3	LOC100578672	uncharacterized LOC100578672
XM_003250103.3	LOC100578714	F-box only protein 39-like
XM_003250107.3	LOC100576163	short neuropeptide F-like
XM_003250111.3	LOC725253	MICOS complex subunit MIC13-like
XM_003250115.3	LOC409049	paired amphipathic helix protein Sin3a
XM_003250119.3	LOC726016	chromosome transmission fidelity protein 8 homolog
XM_003250120.3	LOC725880	small nuclear ribonucleoprotein F
XM_003250121.3	LOC409427	peptidyl-prolyl cis-trans isomerase E-like
XM_003250123.3	LOC100576193	keratinocyte proline-rich protein-like
XM_003250129.3	LOC726627	tetratricopeptide repeat protein 19 homolog, mitochondrial-like
XM_003250137.3	LOC100578341	uncharacterized LOC100578341
XM_003250143.3	LOC100576236	uncharacterized LOC100576236
XM_003250144.3	LOC408455	zinc finger protein rotund
XM_003250146.3	LOC100576983	uncharacterized LOC100576983
XM_003250149.3	LOC100577279	uncharacterized LOC100577279
XM_003250150.3	LOC100577840	origin recognition complex subunit 1-like
XM_003250168.3	LOC100576814	uncharacterized LOC100576814
XM_003250171.3	LOC100577099	protein amnionless-like
XM_003250175.3	LOC100578277	U11/U12 small nuclear ribonucleoprotein 25 kDa protein-like
XM_003250181.3	LOC100576547	glucose dehydrogenase [FAD, quinone]-like
XM_003250183.3	LOC411406	zinc metalloproteinase nas-13-like
XM_003250185.3	LOC100577585	uncharacterized LOC100577585
XM_003250191.3	LOC100577977	uncharacterized LOC100577977
XM_003250195.3	LOC100578907	ankyrin repeat and protein kinase domain-containing protein 1-like
XM_003250197.3	LOC100576126	uncharacterized LOC100576126
XM_003250211.3	LOC100576273	putative uncharacterized protein DDB_G0282133
XM_003250212.3	LOC409318	Kv channel-interacting protein 2-like
XM_003250213.3	LOC100576411	uncharacterized LOC100576411
XM_003250215.3	LOC100576529	uncharacterized LOC100576529
XM_003250216.3	LOC100576569	uncharacterized LOC100576569
XM_003250221.3	LOC100576891	uncharacterized LOC100576891
XM_003250222.3	LOC100577081	dihydroorotate dehydrogenase (quinone), mitochondrial
XM_003250223.3	LOC100577112	astakine-like
XM_003250229.3	LOC412478	nuclear inhibitor of protein phosphatase 1
XM_003250236.3	LOC100578924	zinc finger protein 271-like
XM_003250238.3	LOC100576432	uncharacterized LOC100576432
XM_003250239.3	LOC408516	protein D2-like
XM_003250241.3	LOC726510	M-phase inducer phosphatase 1-like
XM_003250242.3	LOC726510	M-phase inducer phosphatase 1-like
XM_003250245.3	LOC100577320	uncharacterized LOC100577320
XM_003250246.3	LOC100577320	uncharacterized LOC100577320
XM_003250247.3	LOC100577551	eukaryotic translation initiation factor 5B-like
XM_003250248.3	LOC100577551	eukaryotic translation initiation factor 5B-like
XM_003250250.3	LOC100577841	carbonic anhydrase 7-like
XM_003250253.3	LOC100578044	F-box/LRR-repeat protein 7-like
XM_003250254.3	LOC409680	tubby-related protein 4
XM_003250257.3	LOC410580	fragile X mental retardation syndrome-related protein 1
XM_003250259.3	LOC413078	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase
XM_003250260.3	LOC727031	vacuolar protein sorting-associated protein 45
XM_003250262.3	LOC100576194	forkhead box protein J1-B-like
XM_003250283.2	LOC100576150	MYCBP-associated protein-like
XM_003250287.3	LOC408531	PRADC1-like protein
XM_003250290.3	LOC100577382	targeting protein for Xklp2 homolog
XM_003250292.3	LOC409990	coatomer subunit beta'
XM_003250296.3	LOC725679	sex-lethal homolog
XM_003250298.3	LOC725312	dynein light chain D
XM_003250301.3	LOC100576515	protein KRTCAP2 homolog
XM_003250303.3	LOC411915	mitogen-activated protein kinase 14B
XM_003250317.3	LOC100578888	zinc finger protein 62 homolog
XM_003250320.3	LOC408740	phosphatase and actin regulator 4
XM_003250321.3	LOC100576098	F-box only protein 7-like
XM_003250323.3	LOC726252	titin homolog
XM_003250328.3	LOC100577178	uncharacterized LOC100577178
XM_003250331.3	LOC410027	survival of motor neuron-related-splicing factor 30
